algorithm_name,scenario,env_n,states_n,actions_count,actions_cost,native_cost,time,solution_found
A*,HORIZ_CHEAP,1,278,37,172,172,0.0005415740001808445,True
A*,HORIZ_CHEAP,2,597,76,166,166,0.001166598000054364,True
A*,HORIZ_CHEAP,3,67,17,62,62,0.00013403499997366453,True
A*,HORIZ_CHEAP,4,995,71,314,314,0.0019602319998739404,True
A*,HORIZ_CHEAP,5,27,10,28,28,6.536899991260725e-05,True
A*,HORIZ_CHEAP,6,139,24,150,150,0.00027332799982104916,True
A*,HORIZ_CHEAP,7,2338,125,971,971,0.0048838770003385434,True
A*,HORIZ_CHEAP,8,243,36,234,234,0.0004629110003406822,True
A*,HORIZ_CHEAP,9,111,20,101,101,0.0002147980003428529,True
A*,HORIZ_CHEAP,10,1606,86,419,419,0.0032225659997493494,True
A*,HORIZ_CHEAP,11,3046,125,539,539,0.006240897999759909,True
A*,HORIZ_CHEAP,12,480,79,187,187,0.0009407969996573229,True
A*,HORIZ_CHEAP,13,768,60,384,384,0.001493502999892371,True
A*,HORIZ_CHEAP,14,1262,75,435,435,0.0025749849996827834,True
A*,HORIZ_CHEAP,15,133,24,132,132,0.00026207600012639887,True
A*,HORIZ_CHEAP,16,66,34,331,331,0.00015660200006095693,True
A*,HORIZ_CHEAP,17,186,34,106,106,0.00035861900005329517,True
A*,HORIZ_CHEAP,18,73,25,52,52,0.0001532910000605625,True
A*,HORIZ_CHEAP,19,222,35,89,89,0.000451437999799964,True
A*,HORIZ_CHEAP,20,47,39,48,48,0.0001167840000562137,True
A*,HORIZ_CHEAP,21,41,21,30,30,9.907699995892472e-05,True
A*,HORIZ_CHEAP,22,457,52,169,169,0.0009034209997480502,True
A*,HORIZ_CHEAP,23,130,57,93,93,0.0002785520000543329,True
A*,HORIZ_CHEAP,24,5180,155,947,947,0.010954684999887832,True
A*,HORIZ_CHEAP,25,394,56,128,128,0.0007813410002199817,True
A*,HORIZ_CHEAP,26,1465,82,514,514,0.00301860299987311,True
A*,HORIZ_CHEAP,27,273,33,213,213,0.0005299089998516138,True
A*,HORIZ_CHEAP,28,3476,132,573,573,0.007043920999876718,True
A*,HORIZ_CHEAP,29,1780,111,840,840,0.00357194200023514,True
A*,HORIZ_CHEAP,30,24,14,32,32,5.5870000323920976e-05,True
SUMMARY_MEAN,HORIZ_CHEAP,,863.4666666666667,58.166666666666664,281.96666666666664,281.96666666666664,0.00176372006665891,
SUMMARY_STD,HORIZ_CHEAP,,1206.7820221104096,38.74109216609958,263.95763338502303,263.95763338502303,0.0025114305118392978,
BFS,HORIZ_CHEAP,1,1620,37,172,172,0.0016224310002144193,True
BFS,HORIZ_CHEAP,2,5501,76,166,166,0.005413743000190152,True
BFS,HORIZ_CHEAP,3,511,17,62,62,0.0004951040000378271,True
BFS,HORIZ_CHEAP,4,6291,71,314,314,0.006139923999853636,True
BFS,HORIZ_CHEAP,5,187,10,28,28,0.00017900300008477643,True
BFS,HORIZ_CHEAP,6,996,24,150,150,0.000948864000292815,True
BFS,HORIZ_CHEAP,7,8423,125,971,971,0.00804993200017634,True
BFS,HORIZ_CHEAP,8,2235,36,234,234,0.002179240999794274,True
BFS,HORIZ_CHEAP,9,669,20,101,101,0.0006426879999708035,True
BFS,HORIZ_CHEAP,10,6557,86,419,419,0.006419383999855199,True
BFS,HORIZ_CHEAP,11,8715,125,539,539,0.009012281999730476,True
BFS,HORIZ_CHEAP,12,5144,79,187,187,0.005047462999755226,True
BFS,HORIZ_CHEAP,13,6091,60,384,384,0.006099795999944035,True
BFS,HORIZ_CHEAP,14,7958,75,435,435,0.007702000999870506,True
BFS,HORIZ_CHEAP,15,967,24,132,132,0.0009589369997229369,True
BFS,HORIZ_CHEAP,16,1760,34,331,331,0.0016972949997580145,True
BFS,HORIZ_CHEAP,17,2078,34,106,106,0.002045399000053294,True
BFS,HORIZ_CHEAP,18,1144,25,52,52,0.001120059000186302,True
BFS,HORIZ_CHEAP,19,1959,35,89,89,0.00720639300016046,True
BFS,HORIZ_CHEAP,20,1498,39,48,48,0.0014627919999838923,True
BFS,HORIZ_CHEAP,21,745,21,30,30,0.0006955740000194055,True
BFS,HORIZ_CHEAP,22,3811,52,169,169,0.0037291690000529343,True
BFS,HORIZ_CHEAP,23,4454,57,93,93,0.004270113000075071,True
BFS,HORIZ_CHEAP,24,8914,155,947,947,0.008610798000063369,True
BFS,HORIZ_CHEAP,25,3861,56,128,128,0.0037455000001500593,True
BFS,HORIZ_CHEAP,26,7016,82,514,514,0.006761638000170933,True
BFS,HORIZ_CHEAP,27,1334,33,213,213,0.0012852049999310111,True
BFS,HORIZ_CHEAP,28,8323,132,573,573,0.00803891699979431,True
BFS,HORIZ_CHEAP,29,6766,111,840,840,0.006413457999769889,True
BFS,HORIZ_CHEAP,30,202,14,32,32,0.0001945510002769879,True
SUMMARY_MEAN,HORIZ_CHEAP,,3857.6666666666665,58.166666666666664,281.96666666666664,281.96666666666664,0.003939588466664645,
SUMMARY_STD,HORIZ_CHEAP,,2947.5914951400955,38.74109216609958,263.95763338502303,263.95763338502303,0.0029262047948970873,
DFS,HORIZ_CHEAP,1,2074,661,1444,1444,0.002457542999763973,True
DFS,HORIZ_CHEAP,2,7506,984,2010,2010,0.008339157000136765,True
DFS,HORIZ_CHEAP,3,200000,0,0,0,0.21481790299958448,False
DFS,HORIZ_CHEAP,4,87806,999,2052,2052,0.09375045599972509,True
DFS,HORIZ_CHEAP,5,225,222,366,366,0.00029987800007802434,True
DFS,HORIZ_CHEAP,6,200000,0,0,0,0.21263339600000108,False
DFS,HORIZ_CHEAP,7,77880,999,2421,2421,0.08500827300031233,True
DFS,HORIZ_CHEAP,8,200000,0,0,0,0.21191624199991566,False
DFS,HORIZ_CHEAP,9,581,534,1191,1191,0.000777626000399323,True
DFS,HORIZ_CHEAP,10,200000,0,0,0,0.21463845600010245,False
DFS,HORIZ_CHEAP,11,8702,999,1935,1935,0.009542558000248391,True
DFS,HORIZ_CHEAP,12,37101,999,2151,2151,0.04021862900026463,True
DFS,HORIZ_CHEAP,13,39646,682,1258,1258,0.041184335999787436,True
DFS,HORIZ_CHEAP,14,2570,999,2205,2205,0.003021207000074355,True
DFS,HORIZ_CHEAP,15,200000,0,0,0,0.2127410289999716,False
DFS,HORIZ_CHEAP,16,200000,0,0,0,0.21292050100009874,False
DFS,HORIZ_CHEAP,17,200000,0,0,0,0.21297379299994645,False
DFS,HORIZ_CHEAP,18,200000,0,0,0,0.21907951200000753,False
DFS,HORIZ_CHEAP,19,200000,0,0,0,0.21602435400018294,False
DFS,HORIZ_CHEAP,20,200000,0,0,0,0.21893864899993787,False
DFS,HORIZ_CHEAP,21,200000,0,0,0,0.21640764399990076,False
DFS,HORIZ_CHEAP,22,101,100,217,217,0.00014434100012294948,True
DFS,HORIZ_CHEAP,23,9322,775,1603,1603,0.010304813999937323,True
DFS,HORIZ_CHEAP,24,93940,999,2331,2331,0.10230895599988798,True
DFS,HORIZ_CHEAP,25,200000,0,0,0,0.21531392699989738,False
DFS,HORIZ_CHEAP,26,1201,942,1878,1878,0.0015966200003276754,True
DFS,HORIZ_CHEAP,27,200000,0,0,0,0.21998694300009447,False
DFS,HORIZ_CHEAP,28,125961,944,1763,1763,0.1368672290000177,True
DFS,HORIZ_CHEAP,29,41232,999,2430,2430,0.04546696099987457,True
DFS,HORIZ_CHEAP,30,97,96,168,168,0.00012490399967646226,True
SUMMARY_MEAN,HORIZ_CHEAP,,31526.176470588234,760.7647058823529,1613.1176470588234,1613.1176470588234,0.03420079341180206,
SUMMARY_STD,HORIZ_CHEAP,,39444.58282829557,320.8553878787075,725.4671421880274,725.4671421880274,0.042700519040063084,
DLS(50),HORIZ_CHEAP,1,1078,49,256,256,0.0009358170000268728,True
DLS(50),HORIZ_CHEAP,2,27790,0,0,0,0.02680151200002001,False
DLS(50),HORIZ_CHEAP,3,3135,49,184,184,0.002816368999901897,True
DLS(50),HORIZ_CHEAP,4,35769,0,0,0,0.0397952329999498,False
DLS(50),HORIZ_CHEAP,5,1778,50,140,140,0.0015817820003576344,True
DLS(50),HORIZ_CHEAP,6,14659,50,194,194,0.013992636000239145,True
DLS(50),HORIZ_CHEAP,7,21722,0,0,0,0.02110348199994405,False
DLS(50),HORIZ_CHEAP,8,22215,50,248,248,0.02146372400011387,True
DLS(50),HORIZ_CHEAP,9,2298,50,149,149,0.0020791669999198348,True
DLS(50),HORIZ_CHEAP,10,29393,0,0,0,0.02864067000018622,False
DLS(50),HORIZ_CHEAP,11,25992,0,0,0,0.02505740100014009,False
DLS(50),HORIZ_CHEAP,12,24336,0,0,0,0.02349053099987941,False
DLS(50),HORIZ_CHEAP,13,38899,0,0,0,0.03763766600013696,False
DLS(50),HORIZ_CHEAP,14,38327,0,0,0,0.03703364300008616,False
DLS(50),HORIZ_CHEAP,15,4317,50,158,158,0.003903339999851596,True
DLS(50),HORIZ_CHEAP,16,19104,50,347,347,0.018325089999962074,True
DLS(50),HORIZ_CHEAP,17,20500,50,122,122,0.019414920000144775,True
DLS(50),HORIZ_CHEAP,18,11028,49,130,130,0.010385710000264226,True
DLS(50),HORIZ_CHEAP,19,228,49,121,121,0.00019270000029791845,True
DLS(50),HORIZ_CHEAP,20,149,49,94,94,0.0001302720002058777,True
DLS(50),HORIZ_CHEAP,21,5634,21,30,30,0.005257151000023441,True
DLS(50),HORIZ_CHEAP,22,32890,0,0,0,0.03201269200008028,False
DLS(50),HORIZ_CHEAP,23,32963,0,0,0,0.03155844499997329,False
DLS(50),HORIZ_CHEAP,24,16840,0,0,0,0.01625412299972595,False
DLS(50),HORIZ_CHEAP,25,32096,0,0,0,0.030901667999842175,False
DLS(50),HORIZ_CHEAP,26,33355,0,0,0,0.032216465000146854,False
DLS(50),HORIZ_CHEAP,27,10818,49,229,229,0.010201446999872132,True
DLS(50),HORIZ_CHEAP,28,19432,0,0,0,0.018394242000340455,False
DLS(50),HORIZ_CHEAP,29,17591,0,0,0,0.016780998000285763,False
DLS(50),HORIZ_CHEAP,30,4784,50,86,86,0.004436660999999731,True
SUMMARY_MEAN,HORIZ_CHEAP,,8115.0,47.666666666666664,165.86666666666667,165.86666666666667,0.007674452400078735,
SUMMARY_STD,HORIZ_CHEAP,,7470.941654169172,7.142984125855399,77.04013384088985,77.04013384088985,0.007192366198535674,
DLS(75),HORIZ_CHEAP,1,1363,75,318,318,0.0012180489998172561,True
DLS(75),HORIZ_CHEAP,2,79294,0,0,0,0.07819568600007187,False
DLS(75),HORIZ_CHEAP,3,10696,75,210,210,0.015011014000265277,True
DLS(75),HORIZ_CHEAP,4,89989,75,318,318,0.08801050900001428,True
DLS(75),HORIZ_CHEAP,5,10037,72,162,162,0.009276999999656255,True
DLS(75),HORIZ_CHEAP,6,36327,74,236,236,0.03497476800021104,True
DLS(75),HORIZ_CHEAP,7,63637,0,0,0,0.06157636399984767,False
DLS(75),HORIZ_CHEAP,8,40537,74,290,290,0.038973550999799045,True
DLS(75),HORIZ_CHEAP,9,8909,74,155,155,0.008313014000123076,True
DLS(75),HORIZ_CHEAP,10,80228,0,0,0,0.07817499499969927,False
DLS(75),HORIZ_CHEAP,11,74468,0,0,0,0.0722622120001688,False
DLS(75),HORIZ_CHEAP,12,68428,0,0,0,0.06689853399984713,False
DLS(75),HORIZ_CHEAP,13,89102,74,398,398,0.09264024200001586,True
DLS(75),HORIZ_CHEAP,14,88245,75,435,435,0.08721821900007853,True
DLS(75),HORIZ_CHEAP,15,8829,74,182,182,0.008349423999788996,True
DLS(75),HORIZ_CHEAP,16,45379,74,389,389,0.043679467999936605,True
DLS(75),HORIZ_CHEAP,17,41423,74,164,164,0.03979968799967537,True
DLS(75),HORIZ_CHEAP,18,16187,75,264,264,0.01562964300001113,True
DLS(75),HORIZ_CHEAP,19,1574,73,181,181,0.0013703399999940302,True
DLS(75),HORIZ_CHEAP,20,2476,75,174,174,0.002190840999901411,True
DLS(75),HORIZ_CHEAP,21,33245,21,30,30,0.03201290800006973,True
DLS(75),HORIZ_CHEAP,22,2215,74,191,191,0.002032824999787408,True
DLS(75),HORIZ_CHEAP,23,62021,75,129,129,0.060405207999792765,True
DLS(75),HORIZ_CHEAP,24,50132,0,0,0,0.04843879600002765,False
DLS(75),HORIZ_CHEAP,25,1734,74,200,200,0.0015328409999710857,True
DLS(75),HORIZ_CHEAP,26,93952,0,0,0,0.09225070899992716,False
DLS(75),HORIZ_CHEAP,27,15390,75,273,273,0.014595718000236957,True
DLS(75),HORIZ_CHEAP,28,56501,0,0,0,0.060348669999712,False
DLS(75),HORIZ_CHEAP,29,50122,0,0,0,0.04858901799980231,False
DLS(75),HORIZ_CHEAP,30,10240,74,128,128,0.009696846000224468,True
SUMMARY_MEAN,HORIZ_CHEAP,,29329.428571428572,71.71428571428571,229.85714285714286,229.85714285714286,0.02890152933330336,
