algorithm_name,size,runs,success_rate_%,H_mean,H_std,time_mean_s_success,time_std_s_success,states_mean_success,states_std_success
GA,4,30,100.0,0,0.0,0.000395,0.000402,140,110.6
GA,8,30,60.0,0.4,0.49,0.019875,0.018749,1946.67,1802.32
GA,10,30,40.0,0.6,0.49,0.07507,0.048814,4741.67,3072.31
HC,4,30,43.33,0.667,0.65,2e-05,3e-06,3,0.39
HC,8,30,10.0,1.167,0.582,0.00045,8.5e-05,5,0.82
HC,10,30,6.67,1.333,0.699,0.001196,0.000137,5.5,0.5
SA,4,30,100.0,0,0.0,9.7e-05,8.7e-05,86.23,77.47
SA,8,30,73.33,0.267,0.442,0.001776,0.000801,731.36,332.48
SA,10,30,53.33,0.467,0.499,0.003771,0.001145,1088.25,332.6
random,4,30,100.0,0,0.0,0.000206,0.000203,155,155.54
random,8,30,10.0,1.133,0.562,0.00887,0.009584,2696,2923.06
random,10,30,0.0,2.367,0.482,,,,
