algorithm_name,env_n,size,best_solution,H,states,time
random,1,4,"[2, 0, 3, 1]",0,281,0.000407
HC,1,4,"[3, 0, 2, 1]",1,3,0.000031
SA,1,4,"[2, 0, 3, 1]",0,144,0.000170
GA,1,4,"[1, 3, 0, 2]",0,50,0.000073
random,2,4,"[2, 0, 3, 1]",0,41,0.000058
HC,2,4,"[2, 0, 1, 3]",1,2,0.000021
SA,2,4,"[2, 0, 3, 1]",0,319,0.000370
GA,2,4,"[1, 3, 0, 2]",0,100,0.000268
random,3,4,"[1, 3, 0, 2]",0,268,0.000357
HC,3,4,"[2, 0, 1, 3]",1,2,0.000020
SA,3,4,"[1, 3, 0, 2]",0,17,0.000022
GA,3,4,"[2, 0, 3, 1]",0,300,0.000996
random,4,4,"[2, 0, 3, 1]",0,226,0.000301
HC,4,4,"[2, 3, 1, 0]",2,2,0.000021
SA,4,4,"[1, 3, 0, 2]",0,104,0.000116
GA,4,4,"[2, 0, 3, 1]",0,50,0.000066
random,5,4,"[2, 0, 3, 1]",0,611,0.000787
HC,5,4,"[0, 2, 3, 1]",1,3,0.000029
SA,5,4,"[1, 3, 0, 2]",0,73,0.000081
GA,5,4,"[2, 0, 3, 1]",0,100,0.000252
random,6,4,"[2, 0, 3, 1]",0,88,0.000118
HC,6,4,"[2, 0, 3, 1]",0,3,0.000020
SA,6,4,"[1, 3, 0, 2]",0,152,0.000167
GA,6,4,"[1, 3, 0, 2]",0,50,0.000067
random,7,4,"[2, 0, 3, 1]",0,241,0.000310
HC,7,4,"[2, 3, 1, 0]",2,2,0.000020
SA,7,4,"[1, 3, 0, 2]",0,40,0.000046
GA,7,4,"[1, 3, 0, 2]",0,200,0.000624
random,8,4,"[1, 3, 0, 2]",0,8,0.000013
HC,8,4,"[0, 3, 1, 2]",1,2,0.000019
SA,8,4,"[1, 3, 0, 2]",0,14,0.000017
GA,8,4,"[2, 0, 3, 1]",0,150,0.000448
random,9,4,"[2, 0, 3, 1]",0,108,0.000140
HC,9,4,"[1, 2, 0, 3]",1,3,0.000028
SA,9,4,"[2, 0, 3, 1]",0,179,0.000197
GA,9,4,"[2, 0, 3, 1]",0,200,0.000614
random,10,4,"[1, 3, 0, 2]",0,180,0.000237
HC,10,4,"[3, 1, 2, 0]",2,3,0.000029
SA,10,4,"[2, 0, 3, 1]",0,137,0.000148
GA,10,4,"[2, 0, 3, 1]",0,100,0.000249
random,11,4,"[1, 3, 0, 2]",0,19,0.000027
HC,11,4,"[0, 3, 1, 2]",1,2,0.000019
SA,11,4,"[2, 0, 3, 1]",0,9,0.000014
GA,11,4,"[1, 3, 0, 2]",0,500,0.001688
random,12,4,"[1, 3, 0, 2]",0,75,0.000098
HC,12,4,"[0, 3, 1, 2]",1,2,0.000020
SA,12,4,"[2, 0, 3, 1]",0,211,0.000240
GA,12,4,"[1, 3, 0, 2]",0,50,0.000066
random,13,4,"[2, 0, 3, 1]",0,19,0.000027
HC,13,4,"[0, 3, 1, 2]",1,2,0.000020
SA,13,4,"[2, 0, 3, 1]",0,147,0.000162
GA,13,4,"[2, 0, 3, 1]",0,200,0.000604
random,14,4,"[2, 0, 3, 1]",0,9,0.000015
HC,14,4,"[1, 3, 0, 2]",0,3,0.000023
SA,14,4,"[2, 0, 3, 1]",0,48,0.000055
GA,14,4,"[2, 0, 3, 1]",0,50,0.000067
random,15,4,"[1, 3, 0, 2]",0,111,0.000148
HC,15,4,"[2, 0, 3, 1]",0,4,0.000028
SA,15,4,"[2, 0, 3, 1]",0,59,0.000063
GA,15,4,"[2, 0, 3, 1]",0,50,0.000066
random,16,4,"[1, 3, 0, 2]",0,151,0.000198
HC,16,4,"[3, 1, 0, 2]",1,3,0.000027
SA,16,4,"[1, 3, 0, 2]",0,16,0.000020
GA,16,4,"[2, 0, 3, 1]",0,400,0.001361
random,17,4,"[1, 3, 0, 2]",0,40,0.000059
HC,17,4,"[2, 0, 3, 1]",0,3,0.000020
SA,17,4,"[1, 3, 0, 2]",0,82,0.000092
GA,17,4,"[1, 3, 0, 2]",0,200,0.000609
random,18,4,"[1, 3, 0, 2]",0,50,0.000066
HC,18,4,"[1, 3, 0, 2]",0,3,0.000020
SA,18,4,"[1, 3, 0, 2]",0,23,0.000028
GA,18,4,"[2, 0, 3, 1]",0,100,0.000252
random,19,4,"[1, 3, 0, 2]",0,78,0.000105
HC,19,4,"[2, 0, 3, 1]",0,3,0.000019
SA,19,4,"[1, 3, 0, 2]",0,99,0.000108
GA,19,4,"[2, 0, 3, 1]",0,250,0.000783
random,20,4,"[1, 3, 0, 2]",0,87,0.000117
HC,20,4,"[1, 3, 0, 2]",0,3,0.000019
SA,20,4,"[1, 3, 0, 2]",0,220,0.000240
GA,20,4,"[1, 3, 0, 2]",0,200,0.000602
random,21,4,"[1, 3, 0, 2]",0,155,0.000204
HC,21,4,"[2, 0, 1, 3]",1,3,0.000029
SA,21,4,"[1, 3, 0, 2]",0,144,0.000158
GA,21,4,"[1, 3, 0, 2]",0,100,0.000247
random,22,4,"[1, 3, 0, 2]",0,89,0.000125
HC,22,4,"[2, 1, 3, 0]",1,3,0.000028
SA,22,4,"[2, 0, 3, 1]",0,22,0.000026
GA,22,4,"[2, 0, 3, 1]",0,100,0.000244
random,23,4,"[1, 3, 0, 2]",0,558,0.000726
HC,23,4,"[1, 3, 0, 2]",0,3,0.000020
SA,23,4,"[2, 0, 3, 1]",0,59,0.000062
GA,23,4,"[2, 0, 3, 1]",0,50,0.000065
random,24,4,"[1, 3, 0, 2]",0,80,0.000106
HC,24,4,"[1, 3, 0, 2]",0,3,0.000020
SA,24,4,"[2, 0, 3, 1]",0,34,0.000039
GA,24,4,"[1, 3, 0, 2]",0,50,0.000065
random,25,4,"[1, 3, 0, 2]",0,169,0.000220
HC,25,4,"[2, 0, 3, 1]",0,2,0.000011
SA,25,4,"[2, 0, 3, 1]",0,2,0.000003
GA,25,4,"[1, 3, 0, 2]",0,100,0.000248
random,26,4,"[2, 0, 3, 1]",0,520,0.000685
HC,26,4,"[2, 0, 3, 1]",0,3,0.000019
SA,26,4,"[2, 0, 3, 1]",0,16,0.000021
GA,26,4,"[2, 0, 3, 1]",0,250,0.000780
random,27,4,"[1, 3, 0, 2]",0,162,0.000213
HC,27,4,"[1, 2, 0, 3]",1,2,0.000019
SA,27,4,"[1, 3, 0, 2]",0,38,0.000044
GA,27,4,"[2, 0, 3, 1]",0,50,0.000067
random,28,4,"[1, 3, 0, 2]",0,145,0.000198
HC,28,4,"[2, 0, 3, 1]",0,3,0.000019
SA,28,4,"[1, 3, 0, 2]",0,17,0.000020
GA,28,4,"[2, 0, 3, 1]",0,100,0.000239
random,29,4,"[2, 0, 3, 1]",0,16,0.000024
HC,29,4,"[3, 1, 0, 2]",1,2,0.000021
SA,29,4,"[2, 0, 3, 1]",0,11,0.000014
GA,29,4,"[2, 0, 3, 1]",0,50,0.000066
random,30,4,"[2, 0, 3, 1]",0,65,0.000087
HC,30,4,"[2, 0, 3, 1]",0,3,0.000020
SA,30,4,"[1, 3, 0, 2]",0,151,0.000162
GA,30,4,"[1, 3, 0, 2]",0,50,0.000065
random,1,8,"[4, 2, 7, 5, 7, 0, 6, 3]",1,10000,0.033210
HC,1,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,4,0.000351
SA,1,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,508,0.001260
GA,1,8,"[0, 3, 5, 2, 6, 1, 7, 4]",1,10000,0.105211
random,2,8,"[1, 7, 5, 2, 6, 3, 0, 4]",1,10000,0.033485
HC,2,8,"[6, 5, 2, 0, 3, 7, 4, 1]",1,3,0.000342
SA,2,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,1439,0.003441
GA,2,8,"[3, 7, 4, 1, 5, 0, 6, 4]",1,10000,0.101570
random,3,8,"[6, 0, 5, 7, 1, 7, 4, 2]",2,10000,0.033464
HC,3,8,"[1, 6, 4, 7, 3, 0, 2, 5]",1,4,0.000454
SA,3,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,579,0.001439
GA,3,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,1680,0.017319
random,4,8,"[6, 5, 7, 2, 0, 3, 1, 4]",1,10000,0.033389
HC,4,8,"[5, 7, 4, 0, 2, 6, 1, 3]",1,4,0.000434
SA,4,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,881,0.002116
GA,4,8,"[1, 7, 4, 2, 0, 5, 3, 0]",1,10000,0.105368
random,5,8,"[0, 3, 5, 7, 1, 4, 2, 5]",1,10000,0.033329
HC,5,8,"[6, 2, 0, 4, 1, 7, 5, 3]",1,3,0.000336
SA,5,8,"[3, 6, 4, 2, 0, 5, 7, 1]",0,652,0.001600
GA,5,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,1280,0.013064
random,6,8,"[5, 7, 4, 1, 3, 6, 2, 0]",2,10000,0.033804
HC,6,8,"[7, 1, 6, 2, 5, 3, 0, 4]",1,3,0.000344
SA,6,8,"[5, 7, 4, 0, 2, 6, 1, 3]",1,1656,0.003976
GA,6,8,"[4, 6, 0, 2, 6, 1, 3, 7]",1,10000,0.103203
random,7,8,"[4, 7, 0, 2, 6, 1, 3, 7]",1,10000,0.033749
HC,7,8,"[6, 1, 3, 7, 0, 4, 2, 5]",1,4,0.000431
SA,7,8,"[7, 2, 4, 1, 7, 0, 3, 6]",1,1656,0.003982
GA,7,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,2320,0.023685
random,8,8,"[1, 5, 0, 6, 3, 0, 2, 7]",1,10000,0.033442
HC,8,8,"[2, 4, 6, 1, 3, 6, 0, 7]",1,6,0.000660
SA,8,8,"[5, 7, 2, 0, 5, 1, 4, 6]",1,1656,0.003978
GA,8,8,"[1, 3, 0, 6, 4, 2, 5, 3]",1,10000,0.102337
random,9,8,"[2, 4, 1, 7, 5, 1, 6, 0]",1,10000,0.033389
HC,9,8,"[5, 2, 0, 7, 0, 4, 1, 6]",2,3,0.000330
SA,9,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,1003,0.002395
GA,9,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,1600,0.016238
random,10,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,763,0.002541
HC,10,8,"[7, 0, 3, 6, 2, 5, 2, 4]",1,4,0.000443
SA,10,8,"[2, 7, 1, 3, 0, 6, 4, 0]",1,1656,0.003947
GA,10,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,8000,0.082933
random,11,8,"[3, 4, 0, 7, 5, 2, 6, 1]",1,10000,0.032795
HC,11,8,"[5, 0, 2, 4, 6, 3, 0, 7]",2,5,0.000530
SA,11,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,679,0.001605
GA,11,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,4960,0.051095
random,12,8,"[2, 7, 3, 0, 0, 5, 1, 6]",1,10000,0.033118
HC,12,8,"[6, 4, 7, 1, 3, 5, 2, 4]",1,6,0.000673
SA,12,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,393,0.000945
GA,12,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,720,0.006965
random,13,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,498,0.001656
HC,13,8,"[3, 0, 2, 5, 6, 1, 7, 4]",1,4,0.000447
SA,13,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,1275,0.003047
GA,13,8,"[1, 3, 6, 0, 7, 4, 1, 5]",1,10000,0.102871
random,14,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,6827,0.022414
HC,14,8,"[1, 6, 2, 7, 7, 4, 0, 5]",1,4,0.000446
SA,14,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,707,0.001767
GA,14,8,"[1, 6, 4, 0, 7, 5, 2, 2]",1,10000,0.104064
random,15,8,"[7, 0, 4, 6, 1, 6, 2, 5]",1,10000,0.032739
HC,15,8,"[7, 0, 4, 1, 1, 6, 6, 3]",2,4,0.000436
SA,15,8,"[0, 4, 6, 1, 3, 7, 0, 2]",1,1656,0.003994
GA,15,8,"[6, 3, 0, 4, 1, 4, 2, 7]",1,10000,0.104095
random,16,8,"[6, 2, 7, 5, 3, 0, 4, 1]",1,10000,0.032909
HC,16,8,"[2, 0, 3, 7, 5, 1, 6, 4]",1,3,0.000325
SA,16,8,"[6, 3, 0, 7, 5, 2, 5, 1]",1,1656,0.004001
GA,16,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,720,0.007016
random,17,8,"[3, 1, 6, 4, 3, 7, 0, 2]",2,10000,0.033326
HC,17,8,"[0, 7, 5, 2, 6, 1, 7, 4]",1,3,0.000323
SA,17,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,476,0.001128
GA,17,8,"[6, 3, 5, 7, 5, 0, 2, 4]",1,10000,0.103211
random,18,8,"[2, 5, 7, 1, 3, 0, 6, 1]",1,10000,0.033312
HC,18,8,"[0, 2, 5, 2, 6, 3, 0, 4]",2,4,0.000444
SA,18,8,"[4, 7, 3, 0, 2, 5, 1, 6]",0,1293,0.003163
GA,18,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,640,0.006249
random,19,8,"[0, 3, 6, 2, 7, 1, 3, 5]",1,10000,0.033201
HC,19,8,"[4, 6, 3, 0, 7, 5, 0, 2]",1,5,0.000543
SA,19,8,"[4, 6, 1, 5, 2, 0, 7, 3]",0,455,0.001125
GA,19,8,"[3, 5, 6, 2, 0, 7, 1, 4]",1,10000,0.102148
random,20,8,"[3, 0, 6, 1, 5, 7, 0, 4]",1,10000,0.033210
HC,20,8,"[4, 6, 1, 5, 1, 3, 7, 2]",2,3,0.000325
SA,20,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,312,0.000763
GA,20,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,1280,0.013096
random,21,8,"[2, 4, 1, 7, 4, 6, 0, 5]",1,10000,0.032906
HC,21,8,"[0, 3, 1, 7, 4, 6, 1, 5]",2,5,0.000540
SA,21,8,"[5, 1, 2, 4, 7, 3, 0, 6]",1,1656,0.003880
GA,21,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,1840,0.018768
random,22,8,"[0, 4, 6, 1, 3, 7, 2, 2]",2,10000,0.033058
