algorithm,n,seed,found,runtime_seconds,nodes_expanded,solution
backtracking,4,0,1,7.462501525878906e-05,5,2 0 3 1
backtracking,4,1,1,0.00012564659118652344,13,2 0 3 1
backtracking,4,2,1,2.6702880859375e-05,5,1 3 0 2
backtracking,4,3,1,3.838539123535156e-05,13,2 0 3 1
backtracking,4,4,1,2.4318695068359375e-05,5,2 0 3 1
backtracking,4,5,1,3.218650817871094e-05,9,1 3 0 2
backtracking,4,6,1,3.147125244140625e-05,9,2 0 3 1
backtracking,4,7,1,2.956390380859375e-05,9,1 3 0 2
backtracking,4,8,1,3.0279159545898438e-05,9,2 0 3 1
backtracking,4,9,1,2.9325485229492188e-05,9,1 3 0 2
backtracking,4,10,1,3.504753112792969e-05,9,2 0 3 1
backtracking,4,11,1,2.9802322387695312e-05,9,1 3 0 2
backtracking,4,12,1,2.9087066650390625e-05,9,2 0 3 1
backtracking,4,13,1,3.5762786865234375e-05,13,1 3 0 2
backtracking,4,14,1,2.288818359375e-05,5,1 3 0 2
backtracking,4,15,1,2.9325485229492188e-05,9,2 0 3 1
backtracking,4,16,1,3.600120544433594e-05,13,1 3 0 2
backtracking,4,17,1,3.0040740966796875e-05,9,2 0 3 1
backtracking,4,18,1,2.3603439331054688e-05,5,2 0 3 1
backtracking,4,19,1,2.3126602172851562e-05,5,1 3 0 2
backtracking,4,20,1,2.193450927734375e-05,5,2 0 3 1
backtracking,4,21,1,3.0040740966796875e-05,9,2 0 3 1
backtracking,4,22,1,2.956390380859375e-05,9,2 0 3 1
backtracking,4,23,1,2.3603439331054688e-05,5,1 3 0 2
backtracking,4,24,1,2.288818359375e-05,5,1 3 0 2
backtracking,4,25,1,2.4080276489257812e-05,5,1 3 0 2
backtracking,4,26,1,3.719329833984375e-05,13,2 0 3 1
backtracking,4,27,1,3.0279159545898438e-05,9,1 3 0 2
backtracking,4,28,1,2.193450927734375e-05,5,1 3 0 2
backtracking,4,29,1,3.0994415283203125e-05,9,2 0 3 1
backtracking,8,0,1,6.914138793945312e-05,14,4 1 5 0 6 3 7 2
backtracking,8,1,1,5.221366882324219e-05,9,3 6 2 7 1 4 0 5
backtracking,8,2,1,0.00010347366333007812,21,5 3 0 4 7 1 6 2
backtracking,8,3,1,0.00020551681518554688,50,0 5 7 2 6 3 1 4
backtracking,8,4,1,0.00019860267639160156,47,1 7 5 0 2 4 6 3
backtracking,8,5,1,9.441375732421875e-05,20,6 4 2 0 5 7 1 3
backtracking,8,6,1,8.130073547363281e-05,17,5 1 6 0 3 7 4 2
backtracking,8,7,1,0.0001430511474609375,32,6 3 1 7 5 0 2 4
backtracking,8,8,1,4.6253204345703125e-05,9,5 2 0 7 4 1 3 6
backtracking,8,9,1,7.772445678710938e-05,17,3 7 0 4 6 1 5 2
backtracking,8,10,1,0.00010204315185546875,21,2 4 7 3 0 6 1 5
backtracking,8,11,1,0.00010347366333007812,24,1 7 5 0 2 4 6 3
backtracking,8,12,1,9.393692016601562e-05,19,3 1 7 4 6 0 2 5
backtracking,8,13,1,9.226799011230469e-05,19,3 7 0 4 6 1 5 2
backtracking,8,14,1,5.8650970458984375e-05,12,0 6 4 7 1 3 5 2
backtracking,8,15,1,0.00020241737365722656,50,7 3 0 2 5 1 6 4
backtracking,8,16,1,8.058547973632812e-05,17,4 6 3 0 2 7 5 1
backtracking,8,17,1,6.389617919921875e-05,12,3 6 2 7 1 4 0 5
backtracking,8,18,1,7.081031799316406e-05,12,1 4 6 0 2 7 5 3
backtracking,8,19,1,6.556510925292969e-05,14,5 3 1 7 4 6 0 2
backtracking,8,20,1,0.0001308917999267578,29,1 5 0 6 3 7 2 4
backtracking,8,21,1,8.58306884765625e-05,17,4 2 7 3 6 0 5 1
backtracking,8,22,1,6.222724914550781e-05,12,6 3 1 7 5 0 2 4
backtracking,8,23,1,0.0001239776611328125,28,7 3 0 2 5 1 6 4
backtracking,8,24,1,0.00010728836059570312,23,3 7 4 2 0 6 1 5
backtracking,8,25,1,5.555152893066406e-05,11,5 1 6 0 3 7 4 2
backtracking,8,26,1,0.00016117095947265625,37,2 7 3 6 0 5 1 4
backtracking,8,27,1,6.699562072753906e-05,13,3 0 4 7 5 2 6 1
backtracking,8,28,1,4.601478576660156e-05,9,3 5 7 2 0 6 4 1
backtracking,8,29,1,6.365776062011719e-05,11,3 7 4 2 0 6 1 5
backtracking,10,0,1,0.0028486251831054688,505,7 9 4 1 5 0 2 6 8 3
backtracking,10,1,1,0.0001404285430908203,21,6 4 7 1 8 2 5 3 0 9
backtracking,10,2,1,0.0006401538848876953,106,5 8 1 9 7 2 0 3 6 4
backtracking,10,3,1,0.00036406517028808594,61,1 6 9 5 0 8 4 2 7 3
backtracking,10,4,1,0.0008728504180908203,155,8 3 5 7 1 6 0 2 4 9
backtracking,10,5,1,0.0002951622009277344,52,2 4 6 9 3 5 0 8 1 7
backtracking,10,6,1,0.00019669532775878906,31,5 7 2 0 8 6 9 3 1 4
backtracking,10,7,1,0.00010275840759277344,14,8 1 3 7 0 2 5 9 6 4
backtracking,10,8,1,0.00016760826110839844,21,8 2 5 1 9 4 0 7 3 6
backtracking,10,9,1,6.914138793945312e-05,11,9 2 4 7 1 8 6 0 3 5
backtracking,10,10,1,0.00015211105346679688,26,5 1 9 6 8 2 0 3 7 4
backtracking,10,11,1,0.00034499168395996094,57,2 4 1 7 9 6 3 0 8 5
backtracking,10,12,1,0.0009653568267822266,169,8 2 7 1 3 5 0 9 4 6
backtracking,10,13,1,0.0004742145538330078,82,3 8 0 4 9 1 5 7 2 6
backtracking,10,14,1,6.508827209472656e-05,11,9 2 6 3 1 8 5 0 4 7
backtracking,10,15,1,0.0003380775451660156,56,5 0 4 6 8 2 7 1 3 9
backtracking,10,16,1,0.00016951560974121094,28,6 1 5 8 0 9 4 2 7 3
backtracking,10,17,1,0.0004439353942871094,76,7 1 8 2 5 3 0 9 4 6
backtracking,10,18,1,0.0008821487426757812,154,0 8 4 9 7 3 1 6 2 5
backtracking,10,19,1,0.0008580684661865234,155,9 7 1 3 0 6 8 5 2 4
backtracking,10,20,1,0.00018644332885742188,30,5 0 6 1 7 2 8 3 9 4
backtracking,10,21,1,0.00029730796813964844,46,7 4 6 0 9 1 5 2 8 3
backtracking,10,22,1,9.417533874511719e-05,14,5 8 6 0 3 1 9 7 2 4
backtracking,10,23,1,0.0012776851654052734,225,7 9 4 1 5 0 2 6 8 3
backtracking,10,24,1,6.890296936035156e-05,11,4 1 5 9 2 6 8 3 7 0
backtracking,10,25,1,8.368492126464844e-05,14,5 3 1 4 7 9 0 2 8 6
backtracking,10,26,1,0.0001742839813232422,29,2 4 9 7 3 1 6 8 5 0
backtracking,10,27,1,7.295608520507812e-05,12,9 2 4 8 3 0 6 1 5 7
backtracking,10,28,1,6.866455078125e-05,11,5 3 9 4 2 8 6 1 7 0
backtracking,10,29,1,6.794929504394531e-05,11,3 5 2 8 1 7 4 6 9 0
backtracking,12,0,1,0.007054328918457031,920,1 5 0 8 6 11 3 10 7 9 4 2
backtracking,12,1,1,0.0006263256072998047,83,7 11 4 6 0 5 10 1 9 2 8 3
backtracking,12,2,1,0.001481771469116211,191,9 1 10 7 11 0 2 4 6 8 3 5
backtracking,12,3,1,0.0005650520324707031,70,1 6 11 2 4 9 0 3 10 7 5 8
backtracking,12,4,1,0.0006494522094726562,83,11 7 1 4 2 9 6 3 10 0 5 8
backtracking,12,5,1,0.002351522445678711,316,10 8 5 1 4 7 0 11 9 2 6 3
backtracking,12,6,1,0.00010514259338378906,13,6 2 11 5 1 10 4 0 8 3 9 7
backtracking,12,7,1,0.00011849403381347656,16,7 4 10 1 6 11 0 2 9 5 3 8
backtracking,12,8,1,0.00013399124145507812,17,7 2 8 5 0 10 6 11 1 4 9 3
backtracking,12,9,1,0.00029158592224121094,38,8 4 9 0 2 5 10 6 1 3 11 7
backtracking,12,10,1,0.0002474784851074219,33,11 4 7 1 8 5 2 0 10 6 9 3
backtracking,12,11,1,8.654594421386719e-05,13,2 6 11 7 0 3 5 10 1 9 4 8
backtracking,12,12,1,0.0007219314575195312,92,9 2 6 11 1 7 4 0 3 8 10 5
backtracking,12,13,1,0.0002923011779785156,39,8 3 0 7 5 11 1 10 4 6 9 2
backtracking,12,14,1,0.0001728534698486328,23,10 0 3 8 4 1 9 2 6 11 7 5
backtracking,12,15,1,0.0019423961639404297,253,4 10 0 2 9 7 3 1 8 5 11 6
backtracking,12,16,1,0.0004563331604003906,58,8 5 1 10 6 0 3 7 4 2 11 9
backtracking,12,17,1,0.0002467632293701172,32,10 8 6 3 1 11 5 0 9 4 2 7
backtracking,12,18,1,0.00019311904907226562,24,0 9 4 10 5 3 1 11 7 2 6 8
backtracking,12,19,1,9.870529174804688e-05,14,9 3 8 4 2 0 10 6 11 5 7 1
backtracking,12,20,1,0.00044155120849609375,56,5 9 2 4 7 1 8 11 0 6 3 10
backtracking,12,21,1,9.34600830078125e-05,13,8 3 1 9 2 0 11 7 5 10 6 4
backtracking,12,22,1,0.0012595653533935547,153,4 1 9 0 5 10 8 3 11 7 2 6
backtracking,12,23,1,0.0011789798736572266,154,7 2 11 6 4 10 0 9 3 5 8 1
backtracking,12,24,1,0.000553131103515625,71,4 1 3 11 7 10 0 2 5 8 6 9
backtracking,12,25,1,8.988380432128906e-05,13,8 0 4 7 1 10 6 2 11 5 3 9
backtracking,12,26,1,0.00010991096496582031,16,4 8 1 11 2 6 9 0 5 3 10 7
backtracking,12,27,1,0.0004749298095703125,60,5 8 4 1 3 9 6 10 0 2 11 7
backtracking,12,28,1,0.0003650188446044922,47,6 4 11 8 3 5 10 1 9 0 2 7
backtracking,12,29,1,0.0005774497985839844,73,7 10 0 2 4 1 8 11 9 6 3 5
backtracking,15,0,1,0.008104324340820312,732,1 3 13 9 14 4 10 0 11 5 7 2 12 8 6
backtracking,15,1,1,0.0003161430358886719,29,14 2 7 1 12 5 13 11 0 6 3 10 8 4 9
backtracking,15,2,1,0.0037734508514404297,334,9 3 13 0 4 6 12 10 2 7 14 1 11 8 5
backtracking,15,3,1,0.0019686222076416016,166,12 4 7 14 3 6 10 13 2 9 5 8 1 11 0
backtracking,15,4,1,0.00040435791015625,38,9 7 0 10 8 13 1 3 11 6 12 5 2 4 14
backtracking,15,5,1,0.0001766681671142578,20,2 4 8 12 3 6 11 1 5 0 14 7 10 13 9
backtracking,15,6,1,0.005160331726074219,444,6 10 3 14 0 4 13 11 8 1 5 2 9 7 12
