algorithm,n,seed,found,runtime_seconds,nodes_expanded,solution
forward_checking,4,0,1,8.845329284667969e-05,5,2 0 3 1
forward_checking,4,1,1,7.653236389160156e-05,9,2 0 3 1
forward_checking,4,2,1,5.53131103515625e-05,5,1 3 0 2
forward_checking,4,3,1,6.079673767089844e-05,9,2 0 3 1
forward_checking,4,4,1,3.6716461181640625e-05,5,2 0 3 1
forward_checking,4,5,1,4.8160552978515625e-05,7,1 3 0 2
forward_checking,4,6,1,4.8160552978515625e-05,7,2 0 3 1
forward_checking,4,7,1,4.57763671875e-05,7,1 3 0 2
forward_checking,4,8,1,4.5299530029296875e-05,7,2 0 3 1
forward_checking,4,9,1,4.5299530029296875e-05,7,1 3 0 2
forward_checking,4,10,1,4.5299530029296875e-05,7,2 0 3 1
forward_checking,4,11,1,4.601478576660156e-05,7,1 3 0 2
forward_checking,4,12,1,4.5299530029296875e-05,7,2 0 3 1
forward_checking,4,13,1,5.626678466796875e-05,9,1 3 0 2
forward_checking,4,14,1,3.4332275390625e-05,5,1 3 0 2
forward_checking,4,15,1,4.9114227294921875e-05,7,2 0 3 1
forward_checking,4,16,1,5.555152893066406e-05,9,1 3 0 2
forward_checking,4,17,1,4.506111145019531e-05,7,2 0 3 1
forward_checking,4,18,1,3.3855438232421875e-05,5,2 0 3 1
forward_checking,4,19,1,3.3855438232421875e-05,5,1 3 0 2
forward_checking,4,20,1,3.457069396972656e-05,5,2 0 3 1
forward_checking,4,21,1,4.482269287109375e-05,7,2 0 3 1
forward_checking,4,22,1,4.553794860839844e-05,7,2 0 3 1
forward_checking,4,23,1,4.863739013671875e-05,5,1 3 0 2
forward_checking,4,24,1,3.4332275390625e-05,5,1 3 0 2
forward_checking,4,25,1,3.3855438232421875e-05,5,1 3 0 2
forward_checking,4,26,1,8.273124694824219e-05,9,2 0 3 1
forward_checking,4,27,1,4.57763671875e-05,7,1 3 0 2
forward_checking,4,28,1,3.409385681152344e-05,5,1 3 0 2
forward_checking,4,29,1,4.506111145019531e-05,7,2 0 3 1
forward_checking,8,0,1,0.0001239776611328125,10,4 1 5 0 6 3 7 2
forward_checking,8,1,1,8.678436279296875e-05,9,3 6 2 7 1 4 0 5
forward_checking,8,2,1,8.58306884765625e-05,9,5 3 0 4 7 1 6 2
forward_checking,8,3,1,0.00024008750915527344,31,0 5 7 2 6 3 1 4
forward_checking,8,4,1,0.00020837783813476562,25,1 7 5 0 2 4 6 3
forward_checking,8,5,1,0.00011968612670898438,13,6 4 2 0 5 7 1 3
forward_checking,8,6,1,0.00011229515075683594,13,5 1 6 0 3 7 4 2
forward_checking,8,7,1,0.00014400482177734375,17,6 3 1 7 5 0 2 4
forward_checking,8,8,1,8.440017700195312e-05,9,5 2 0 7 4 1 3 6
forward_checking,8,9,1,0.00011539459228515625,13,3 7 0 4 6 1 5 2
forward_checking,8,10,1,8.487701416015625e-05,9,2 4 7 3 0 6 1 5
forward_checking,8,11,1,0.00013208389282226562,16,1 7 5 0 2 4 6 3
forward_checking,8,12,1,0.00011134147644042969,13,3 1 7 4 6 0 2 5
forward_checking,8,13,1,0.0001316070556640625,14,3 7 0 4 6 1 5 2
forward_checking,8,14,1,8.440017700195312e-05,9,0 6 4 7 1 3 5 2
forward_checking,8,15,1,0.00021219253540039062,28,7 3 0 2 5 1 6 4
forward_checking,8,16,1,0.00010633468627929688,12,4 6 3 0 2 7 5 1
forward_checking,8,17,1,9.632110595703125e-05,10,3 6 2 7 1 4 0 5
forward_checking,8,18,1,8.463859558105469e-05,9,1 4 6 0 2 7 5 3
forward_checking,8,19,1,9.298324584960938e-05,10,5 3 1 7 4 6 0 2
forward_checking,8,20,1,0.00012254714965820312,15,1 5 0 6 3 7 2 4
forward_checking,8,21,1,0.0001068115234375,10,4 2 7 3 6 0 5 1
forward_checking,8,22,1,8.559226989746094e-05,9,6 3 1 7 5 0 2 4
forward_checking,8,23,1,0.00014328956604003906,17,7 3 0 2 5 1 6 4
forward_checking,8,24,1,0.00013136863708496094,16,3 7 4 2 0 6 1 5
forward_checking,8,25,1,8.487701416015625e-05,9,5 1 6 0 3 7 4 2
forward_checking,8,26,1,0.00017881393432617188,24,2 7 3 6 0 5 1 4
forward_checking,8,27,1,0.000102996826171875,12,3 0 4 7 5 2 6 1
forward_checking,8,28,1,8.559226989746094e-05,9,3 5 7 2 0 6 4 1
forward_checking,8,29,1,8.916854858398438e-05,9,3 7 4 2 0 6 1 5
forward_checking,10,0,1,0.0014181137084960938,169,7 9 4 1 5 0 2 6 8 3
forward_checking,10,1,1,0.00016021728515625,15,6 4 7 1 8 2 5 3 0 9
forward_checking,10,2,1,0.00041031837463378906,48,5 8 1 9 7 2 0 3 6 4
forward_checking,10,3,1,0.00033545494079589844,36,1 6 9 3 0 7 4 2 5 8
forward_checking,10,4,1,0.0005321502685546875,54,8 3 5 7 1 6 0 2 4 9
forward_checking,10,5,1,0.00022411346435546875,22,2 4 6 9 3 5 0 8 1 7
forward_checking,10,6,1,0.0001277923583984375,11,5 7 2 0 8 6 9 3 1 4
forward_checking,10,7,1,0.00012373924255371094,11,8 1 3 7 0 2 5 9 6 4
forward_checking,10,8,1,0.00013709068298339844,12,8 2 5 1 9 4 0 7 3 6
forward_checking,10,9,1,0.0001239776611328125,11,9 2 4 7 1 8 6 0 3 5
forward_checking,10,10,1,0.00015664100646972656,14,5 1 9 6 8 2 0 3 7 4
forward_checking,10,11,1,0.00027942657470703125,31,2 4 1 7 9 6 3 0 8 5
forward_checking,10,12,1,0.0005764961242675781,68,8 2 7 1 3 5 0 9 4 6
forward_checking,10,13,1,0.0001304149627685547,11,3 8 0 4 9 1 5 7 2 6
forward_checking,10,14,1,0.0001227855682373047,11,9 2 6 3 1 8 5 0 4 7
forward_checking,10,15,1,0.0001742839813232422,17,5 0 4 6 8 2 7 1 3 9
forward_checking,10,16,1,0.00012874603271484375,11,6 1 5 8 0 9 4 2 7 3
forward_checking,10,17,1,0.00031375885009765625,34,7 1 8 2 5 3 0 9 4 6
forward_checking,10,18,1,0.00055694580078125,66,0 8 4 9 7 3 1 6 2 5
forward_checking,10,19,1,0.0005636215209960938,67,9 7 1 3 0 6 8 5 2 4
forward_checking,10,20,1,0.00014972686767578125,14,5 0 6 9 7 1 3 8 2 4
forward_checking,10,21,1,0.0002684593200683594,25,7 4 6 0 9 1 5 2 8 3
forward_checking,10,22,1,0.00023818016052246094,27,5 8 6 1 7 2 0 3 9 4
forward_checking,10,23,1,0.0007641315460205078,92,7 9 4 1 5 0 2 6 8 3
forward_checking,10,24,1,0.0001251697540283203,11,4 1 5 9 2 6 8 3 7 0
forward_checking,10,25,1,0.00015282630920410156,15,5 3 1 4 7 9 0 2 8 6
forward_checking,10,26,1,0.0001246929168701172,11,2 4 9 7 3 1 6 8 5 0
forward_checking,10,27,1,0.00012445449829101562,11,9 2 4 8 1 3 6 0 7 5
forward_checking,10,28,1,0.000179290771484375,18,5 3 9 4 2 8 6 1 7 0
forward_checking,10,29,1,0.00012421607971191406,11,3 5 2 8 1 7 4 6 9 0
forward_checking,12,0,1,0.0029349327087402344,316,1 5 0 8 6 11 3 10 7 9 4 2
forward_checking,12,1,1,0.0002837181091308594,23,7 11 4 6 1 9 5 3 0 10 8 2
forward_checking,12,2,1,0.0007812976837158203,83,9 1 10 7 11 0 2 4 6 8 3 5
forward_checking,12,3,1,0.0006439685821533203,63,1 6 11 2 4 9 0 3 10 7 5 8
forward_checking,12,4,1,0.00022649765014648438,18,11 7 1 4 2 9 6 3 10 0 5 8
forward_checking,12,5,1,0.00033736228942871094,24,10 8 0 5 3 1 7 4 11 9 2 6
forward_checking,12,6,1,0.00017833709716796875,13,6 2 11 5 8 0 4 10 7 9 1 3
forward_checking,12,7,1,0.00018525123596191406,14,7 4 10 1 6 11 0 2 9 5 3 8
forward_checking,12,8,1,0.00017833709716796875,13,7 2 8 1 4 10 0 9 11 5 3 6
forward_checking,12,9,1,0.0002732276916503906,24,8 4 9 0 2 5 1 11 7 10 6 3
forward_checking,12,10,1,0.0005970001220703125,59,11 4 7 5 0 2 10 8 6 9 3 1
forward_checking,12,11,1,0.0001976490020751953,15,2 6 11 7 10 0 3 8 4 9 1 5
forward_checking,12,12,1,0.0003345012664794922,30,9 2 6 11 1 7 4 0 3 8 10 5
forward_checking,12,13,1,0.0002434253692626953,20,8 3 0 7 5 10 1 4 11 9 6 2
forward_checking,12,14,1,0.00020575523376464844,17,10 0 3 8 4 1 9 2 6 11 7 5
forward_checking,12,15,1,0.0006132125854492188,61,4 10 0 2 9 7 3 1 8 5 11 6
