"Fold","N_train","N_test","TP","TN","FP","FN","Accuracy","Precision","Sensitivity","Specificity"
1,22976,2554,192,1648,619,95,0.72043852779953,0.236744759556104,0.668989547038328,0.726951918835465
2,22977,2553,194,1644,623,92,0.719937328632981,0.237454100367197,0.678321678321678,0.725187472430525
3,22977,2553,176,1689,578,110,0.73051312181747,0.23342175066313,0.615384615384615,0.745037494486105
4,22977,2553,196,1684,583,90,0.736388562475519,0.251604621309371,0.685314685314685,0.742831936479929
5,22977,2553,186,1632,635,100,0.712103407755582,0.226552984165652,0.65034965034965,0.719894133215704
6,22978,2552,183,1643,623,103,0.71551724137931,0.227047146401985,0.63986013986014,0.725066195939982
7,22977,2553,166,1695,572,120,0.72894633764199,0.224932249322493,0.58041958041958,0.747684164093516
8,22977,2553,193,1617,650,93,0.708969839404622,0.228944246737841,0.674825174825175,0.713277459197177
9,22977,2553,190,1682,585,96,0.733254994124559,0.245161290322581,0.664335664335664,0.741949713277459
10,22977,2553,184,1629,638,102,0.710144927536232,0.223844282238443,0.643356643356643,0.718570798411998
